Monitoring Location ID,Activity Type,Activity Start Date,Activity Start Time,Activity Depth/Height Measure,Activity Depth/Height Unit,Activity Relative Depth Name,Characteristic Name,Result Value,Result Unit,Quantitation Limit,QC Reference Value,Result Measure Qualifier,Result Attribute,Sample Collection Method ID,Project ID,Local Record ID,Result Comment
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,Alkalinity,22,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,Ammonia,0.12,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,Ammonia,0.14,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,Ammonia,0.14,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,Ammonia,0.17,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,Ammonia,0.18,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,Nitrate ,1.9,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,Nitrate ,0.9,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,Nitrate ,2,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,Nitrate ,0.5,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,Nitrate ,1,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,Orthophosphate,0.76,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,Orthophosphate,0.31,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,Orthophosphate,0.09,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,Orthophosphate,0.18,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,Orthophosphate,0.16,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,Chloride,60,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,Chloride,50,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,Chloride,60,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,Chloride,60,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,Chloride,50,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,Air Temp,18.8,deg C,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,Air Temp,16.8,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,Air Temp,16.6,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,Air Temp,17.2,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,Air Temp,16.8,deg C,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,Water Temp,14.4,deg C,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,Water Temp,14.6,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,Water Temp,14,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,Water Temp,15.5,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,Water Temp,16.4,deg C,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,DO,9.32,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,DO,11.51,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,DO,8.58,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,DO,8.97,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,DO,11.67,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,DO saturation,91,%,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,DO saturation,114,%,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,DO saturation,83,%,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,DO saturation,93,%,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,DO saturation,114,%,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,pH,6.43,None,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,pH,7.12,None,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,pH,6.53,None,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,pH,6.85,None,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,pH,7.17,None,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,Conductivity,224,mS/cm,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,Conductivity,251,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,Conductivity,225,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,Conductivity,242,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,Conductivity,232,mS/cm,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,Salinity,0.11,PSU,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,Salinity,0.12,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,Salinity,0.11,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,Salinity,0.12,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,Salinity,0.11,PSU,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,Oxidation reducation potential (ORP),127,mV,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,Oxidation reducation potential (ORP),123,mV,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,Oxidation reducation potential (ORP),167,mV,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,Oxidation reducation potential (ORP),148,mV,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,Oxidation reducation potential (ORP),137,mV,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,Turbidity,3.5,NTU,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,Turbidity,4.6,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,Turbidity,9.3,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,Turbidity,0.8,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,Turbidity,1.1,NTU,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,Alkalinity,28,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,Alkalinity,28,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,Alkalinity,27,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,Alkalinity,26,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,Alkalinity,28,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,Ammonia,0.52,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,Ammonia,0.63,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,Ammonia,0.58,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,Ammonia,0.31,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,Ammonia,0,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,Nitrate ,0,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,Nitrate ,0,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,Nitrate ,0,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,Nitrate ,0.4,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,Nitrate ,0,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,Orthophosphate,0.19,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,Orthophosphate,0.09,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,Orthophosphate,0.09,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,Orthophosphate,0.01,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,Orthophosphate,0,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,5/7/2026,12:40,0.15,ft,Surface,Chloride,80,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,5/7/2026,12:50,0.15,ft,Surface,Chloride,90,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,5/7/2026,12:10,0.15,ft,Surface,Chloride,80,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,5/7/2026,12:22,0.15,ft,Surface,Chloride,60,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,5/7/2026,13:05,0.15,ft,Surface,Chloride,90,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,Air Temp,26.8,deg C,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,Air Temp,20.2,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,Air Temp,23.4,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,Air Temp,30,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,Air Temp,23.6,deg C,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,Water Temp,15.4,deg C,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,Water Temp,15.9,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,Water Temp,14.8,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,Water Temp,17.9,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,Water Temp,18.9,deg C,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,DO,7.67,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,DO,7.85,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,DO,6.13,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,DO,9.83,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,DO,5.07,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,DO saturation,75.7,%,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,DO saturation,78.7,%,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,DO saturation,59.9,%,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,DO saturation,107.6,%,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,DO saturation,53.6,%,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,pH,7.03,None,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,pH,7.3,None,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,pH,6.92,None,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,pH,6.8,None,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,pH,6.88,None,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,Conductivity,239,mS/cm,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,Conductivity,234,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,Conductivity,271,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,Conductivity,195,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,Conductivity,189,mS/cm,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,Salinity,0.11,PSU,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,Salinity,0.11,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,Salinity,0.13,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,Salinity,0.09,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,Salinity,0.09,PSU,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,Oxidation reducation potential (ORP),154.3,mV,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,Oxidation reducation potential (ORP),220,mV,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,Oxidation reducation potential (ORP),148.1,mV,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,Oxidation reducation potential (ORP),166.3,mV,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,Oxidation reducation potential (ORP),224.5,mV,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,Turbidity,6.2,NTU,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,Turbidity,4,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,Turbidity,,NTU,,,Q,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,Turbidity,3.9,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,Turbidity,6.1,NTU,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,Alkalinity,33,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,Alkalinity,24,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,Alkalinity,35,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,Alkalinity,18,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,Alkalinity,27,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,Ammonia,0.9,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,Ammonia,0.08,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,Ammonia,,mg/l,,,Q,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,Ammonia,,mg/l,,,Q,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,Ammonia,,mg/l,,,Q,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,Nitrate ,1.8,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,Nitrate ,1.3,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,Nitrate ,3.7,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,Nitrate ,0,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,Nitrate ,0,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,Orthophosphate,0.18,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,Orthophosphate,0.13,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,Orthophosphate,0.15,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,Orthophosphate,0,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,Orthophosphate,0.18,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/4/2026,12:51,0.15,ft,Surface,Chloride,60,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/4/2026,13:01,0.15,ft,Surface,Chloride,70,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/4/2026,12:08,0.15,ft,Surface,Chloride,80,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/4/2026,12:22,0.15,ft,Surface,Chloride,50,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/4/2026,13:15,0.15,ft,Surface,Chloride,70,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/17/2026,10:00,0,ft,Surface,Freshwater Macroinvertebrates,9,None,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/17/2026,10:00,0,ft,Surface,Freshwater Macroinvertebrates,7,None,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/17/2026,10:00,0,ft,Surface,Freshwater Macroinvertebrates,10,None,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/17/2026,10:00,0,ft,Surface,Freshwater Macroinvertebrates,10,None,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/17/2026,10:00,0,ft,Surface,Freshwater Macroinvertebrates,15,None,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/18/2026,13:10,0.15,ft,Surface,Air Temp,19.5,deg C,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/18/2026,13:19,0.15,ft,Surface,Air Temp,19.8,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/18/2026,12:22,0.15,ft,Surface,Air Temp,22.3,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/18/2026,12:39,0.15,ft,Surface,Air Temp,22.2,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/18/2026,13:30,0.15,ft,Surface,Air Temp,20.7,deg C,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/18/2026,13:10,0.15,ft,Surface,Water Temp,16.2,deg C,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/18/2026,13:19,0.15,ft,Surface,Water Temp,16.9,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/18/2026,12:22,0.15,ft,Surface,Water Temp,17.1,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/18/2026,12:39,0.15,ft,Surface,Water Temp,23,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/18/2026,13:30,0.15,ft,Surface,Water Temp,21.2,deg C,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/18/2026,13:10,0.15,ft,Surface,DO,,mg/l,,,Q,Dry,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/18/2026,13:19,0.15,ft,Surface,DO,,mg/l,,,Q,Dry,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/18/2026,12:22,0.15,ft,Surface,DO,,mg/l,,,Q,Dry,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/18/2026,12:39,0.15,ft,Surface,DO,2,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/18/2026,13:30,0.15,ft,Surface,DO,,mg/l,,,Q,Dry,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/18/2026,13:10,0.15,ft,Surface,DO saturation,,%,,,Q,Dry,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/18/2026,13:19,0.15,ft,Surface,DO saturation,,%,,,Q,Dry,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/18/2026,12:22,0.15,ft,Surface,DO saturation,,%,,,Q,Dry,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/18/2026,12:39,0.15,ft,Surface,DO saturation,23.5,%,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/18/2026,13:30,0.15,ft,Surface,DO saturation,,%,,,Q,Dry,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/18/2026,13:10,0.15,ft,Surface,pH,6.86,None,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/18/2026,13:19,0.15,ft,Surface,pH,7.02,None,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/18/2026,12:22,0.15,ft,Surface,pH,6.8,None,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/18/2026,12:39,0.15,ft,Surface,pH,6.46,None,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/18/2026,13:30,0.15,ft,Surface,pH,6.88,None,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,6/18/2026,13:10,0.15,ft,Surface,Conductivity,248,mS/cm,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,6/18/2026,13:19,0.15,ft,Surface,Conductivity,246,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,6/18/2026,12:22,0.15,ft,Surface,Conductivity,0,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,6/18/2026,12:39,0.15,ft,Surface,Conductivity,209,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,6/18/2026,13:30,0.15,ft,Surface,Conductivity,189,mS/cm,,,,,Grab-MassWateR,Freshwater,,
